counts	gene
298	1257	ENSMUSG00000001687.15
299	764	ENSMUSG00000001700.10
300	613	ENSMUSG00000001707.8
301	8128	ENSMUSG00000001729.14
302	135	ENSMUSG00000001739.14
303	25.006	ENSMUSG00000001741.12
304	519.669	ENSMUSG00000001750.16
305	802	ENSMUSG00000001751.9
306	449	ENSMUSG00000001755.12
307	395	ENSMUSG00000001761.7
308	516	ENSMUSG00000001763.14
309	845	ENSMUSG00000001767.5
310	419.522	ENSMUSG00000001768.16
311	0	ENSMUSG00000001773.14
312	1232.515	ENSMUSG00000001774.8
313	1994	ENSMUSG00000001783.3
314	399	ENSMUSG00000001785.13
315	366.999	ENSMUSG00000001786.14
316	3922.001	ENSMUSG00000001794.13
317	54	ENSMUSG00000001802.16
318	3	ENSMUSG00000001804.9
319	0	ENSMUSG00000001815.15
320	12	ENSMUSG00000001819.4
321	0	ENSMUSG00000001823.5
322	3263	ENSMUSG00000001827.12
323	516	ENSMUSG00000001829.17
324	3344.062	ENSMUSG00000001833.17
325	350.999	ENSMUSG00000001844.10
326	8319.07	ENSMUSG00000001847.14
327	543	ENSMUSG00000001855.15
328	5222	ENSMUSG00000001864.13
329	4	ENSMUSG00000001865.2
330	347.173	ENSMUSG00000001870.16
331	5341	ENSMUSG00000001891.16
332	37	ENSMUSG00000001901.15
333	671	ENSMUSG00000001909.16
334	852.704	ENSMUSG00000001910.5
335	97	ENSMUSG00000001911.16
336	757	ENSMUSG00000001918.17
337	3692.732	ENSMUSG00000001924.15
338	140	ENSMUSG00000001930.17
339	825.005	ENSMUSG00000001942.8
340	95.001	ENSMUSG00000001943.8
341	2514.001	ENSMUSG00000001946.14
342	94	ENSMUSG00000001948.10
343	1016	ENSMUSG00000001962.8
344	838.325	ENSMUSG00000001964.14
345	162	ENSMUSG00000001983.7
346	23.071	ENSMUSG00000001985.9
347	37.234	ENSMUSG00000001986.16
348	0	ENSMUSG00000001988.9
349	1219	ENSMUSG00000001995.9
350	158.586	ENSMUSG00000001998.15
351	674	ENSMUSG00000001999.15
352	34	ENSMUSG00000002006.12
353	11	ENSMUSG00000002007.5
354	1404.998	ENSMUSG00000002010.17
355	57	ENSMUSG00000002012.13
356	4164	ENSMUSG00000002014.12
357	6399	ENSMUSG00000002015.5
358	1010	ENSMUSG00000002017.10
359	97.001	ENSMUSG00000002020.15
360	470	ENSMUSG00000002028.13
361	638.261	ENSMUSG00000002031.13
362	40	ENSMUSG00000002032.17
363	4	ENSMUSG00000002033.14
364	427	ENSMUSG00000002043.17
365	1831.699	ENSMUSG00000002052.6
366	444.001	ENSMUSG00000002055.9
367	17	ENSMUSG00000002057.4
368	1056	ENSMUSG00000002058.13
369	253.009	ENSMUSG00000002059.18
370	2573	ENSMUSG00000002064.10
371	301	ENSMUSG00000002068.16
372	170.001	ENSMUSG00000002076.12
373	121	ENSMUSG00000002083.13
374	23	ENSMUSG00000002100.15
375	2495.999	ENSMUSG00000002102.15
376	768.8	ENSMUSG00000002103.16
377	3	ENSMUSG00000002104.11
378	698.999	ENSMUSG00000002105.15
379	206	ENSMUSG00000002107.18
380	335	ENSMUSG00000002108.10
