counts	gene
388	224	ENSMUSG00000002210.11
389	340.255	ENSMUSG00000002221.11
390	722.001	ENSMUSG00000002222.14
391	1046.947	ENSMUSG00000002227.15
392	17	ENSMUSG00000002228.7
393	5439	ENSMUSG00000002233.13
394	0	ENSMUSG00000002240.12
395	668.673	ENSMUSG00000002249.21
396	803	ENSMUSG00000002250.16
397	72	ENSMUSG00000002257.8
398	8131	ENSMUSG00000002265.17
399	517.076	ENSMUSG00000002266.17
400	40.999	ENSMUSG00000002274.13
401	343.999	ENSMUSG00000002279.19
402	487	ENSMUSG00000002280.11
403	278	ENSMUSG00000002289.16
404	410.131	ENSMUSG00000002297.16
405	1115	ENSMUSG00000002307.16
406	3121.001	ENSMUSG00000002308.16
407	1709.999	ENSMUSG00000002319.16
408	1190.842	ENSMUSG00000002320.15
409	349	ENSMUSG00000002324.8
410	1012.146	ENSMUSG00000002325.15
411	575	ENSMUSG00000002326.6
412	757	ENSMUSG00000002329.7
413	946	ENSMUSG00000002332.16
414	0	ENSMUSG00000002341.8
415	357	ENSMUSG00000002342.17
416	208	ENSMUSG00000002343.11
417	345	ENSMUSG00000002345.18
418	53.843	ENSMUSG00000002346.16
419	4549	ENSMUSG00000002365.10
420	1329.399	ENSMUSG00000002372.9
421	1304	ENSMUSG00000002379.7
422	28.477	ENSMUSG00000002384.2
423	1417.001	ENSMUSG00000002393.14
424	1269	ENSMUSG00000002395.14
425	123	ENSMUSG00000002396.8
426	357	ENSMUSG00000002409.18
427	967	ENSMUSG00000002413.15
428	770.81	ENSMUSG00000002416.13
429	429.517	ENSMUSG00000002428.12
430	1597	ENSMUSG00000002455.14
431	56	ENSMUSG00000002458.13
432	3.122	ENSMUSG00000002459.17
433	337	ENSMUSG00000002475.16
434	1384.246	ENSMUSG00000002477.5
435	123	ENSMUSG00000002486.15
436	524	ENSMUSG00000002489.16
437	765.074	ENSMUSG00000002496.10
438	74	ENSMUSG00000002500.15
439	196.001	ENSMUSG00000002504.15
440	3440.999	ENSMUSG00000002524.17
441	1413	ENSMUSG00000002546.16
442	666	ENSMUSG00000002550.16
443	102.678	ENSMUSG00000002565.16
444	44.524	ENSMUSG00000002578.18
445	870	ENSMUSG00000002580.7
446	3	ENSMUSG00000002588.13
447	474	ENSMUSG00000002602.16
448	684.209	ENSMUSG00000002603.15
449	435	ENSMUSG00000002608.8
450	42.039	ENSMUSG00000002617.14
451	361.999	ENSMUSG00000002625.10
452	0	ENSMUSG00000002633.4
453	342	ENSMUSG00000002635.11
454	1246	ENSMUSG00000002658.9
455	696	ENSMUSG00000002660.8
456	183	ENSMUSG00000002661.14
457	0	ENSMUSG00000002664.2
458	17.001	ENSMUSG00000002668.8
459	903.001	ENSMUSG00000002679.14
460	15	ENSMUSG00000002688.8
461	48.909	ENSMUSG00000002699.13
462	1693.452	ENSMUSG00000002718.14
463	969.541	ENSMUSG00000002728.14
464	291	ENSMUSG00000002731.6
465	163	ENSMUSG00000002732.14
466	555.264	ENSMUSG00000002733.8
467	1552	ENSMUSG00000002741.9
468	1213.425	ENSMUSG00000002748.7
469	860.999	ENSMUSG00000002763.16
470	1234	ENSMUSG00000002767.13
471	1220	ENSMUSG00000002768.8
472	4	ENSMUSG00000002769.9
473	24	ENSMUSG00000002771.12
474	2360	ENSMUSG00000002778.14
475	177.725	ENSMUSG00000002781.19
476	39	ENSMUSG00000002797.9
477	226.001	ENSMUSG00000002799.6
