	NG-16677_M53_iso_preg_placenta_lib271061_6029_8_1_counts	NG-16677_M55_aly6g_preg_placenta_lib271064_6029_8_1_counts	NG-16677_M56_aly6g_preg_placenta_lib280131_6085_1_1_counts	NG-16677_M62_iso_preg_placenta_lib271062_6029_4_1_counts	NG-16677_M63_aly6g_preg_placenta_lib280132_6085_1_1_counts	NG-16677_M65_iso_preg_placenta_lib280130_6085_1_1_counts
ENSMUSG00000002204.9	105.338	140.971	185.454	360.008	198.449	656.442
ENSMUSG00000002205.16	615.887	756.053	870.323	764.04	952.027	1105.529
ENSMUSG00000002210.11	226	224	287	271.001	356.036	308
ENSMUSG00000002221.11	343.702	340.255	487.136	429.364	620.354	583.456
ENSMUSG00000002222.14	1293	722.001	1329	1031	1729.999	1908
ENSMUSG00000002227.15	1519.877	1046.947	1392.554	1606.074	1943.445	2977
ENSMUSG00000002228.7	35	17	39	24	51	37
ENSMUSG00000002233.13	4297.001	5439	6963	5153	6919	6458
ENSMUSG00000002240.12	0	0	0	0	0	0
ENSMUSG00000002249.21	864.974	668.673	750.614	934.301	1514.509	1287.91
ENSMUSG00000002250.16	845	803	1290	769	1699.919	1102
ENSMUSG00000002257.8	33	72	54	61	100	61.001
ENSMUSG00000002265.17	17219	8131	17115	11921.999	19854	23643.001
ENSMUSG00000002266.17	1375.764	517.076	1361.975	871.235	1742.108	1614.189
ENSMUSG00000002274.13	30	40.999	55	50	75	67
ENSMUSG00000002279.19	418.001	343.999	621.073	428.11	637.834	565.727
ENSMUSG00000002280.11	377	487	612	450	506	592
ENSMUSG00000002289.16	278	278	369.002	186	260	363.999
ENSMUSG00000002297.16	440.999	410.131	586.331	623	691.001	727.501
ENSMUSG00000002307.16	985	1115	1483	1043.999	1703	1437
ENSMUSG00000002308.16	2630	3121.001	3923	2566	2912	3585.001
