	NG-16677_M53_iso_preg_placenta_lib271061_6029_8_1_counts	NG-16677_M55_aly6g_preg_placenta_lib271064_6029_8_1_counts	NG-16677_M56_aly6g_preg_placenta_lib280131_6085_1_1_counts	NG-16677_M62_iso_preg_placenta_lib271062_6029_4_1_counts	NG-16677_M63_aly6g_preg_placenta_lib280132_6085_1_1_counts	NG-16677_M65_iso_preg_placenta_lib280130_6085_1_1_counts
ENSMUSG00000070617.2	0	0	0	0	0	0
ENSMUSG00000070618.10	2	0	0	0	3.252	1.765
ENSMUSG00000070619.5	1	0	1	2	0	0
ENSMUSG00000070637.2	0	3	1	6	2	0
ENSMUSG00000070639.5	659	277	814	597	1408	837
ENSMUSG00000070643.11	246	188	267	221.001	296.999	440
ENSMUSG00000070644.13	45	31	55	67	97	101.001
ENSMUSG00000070645.5	14	9	8	11	24	11
ENSMUSG00000070661.6	20	15	3	23	3	54
ENSMUSG00000070677.8	0	0	0	0	0	0
ENSMUSG00000070683.7	0	0	0	0	0	0
ENSMUSG00000070686.10	0	0.333	0	0.5	0	0
ENSMUSG00000070687.11	29	22	63	30	57	44
ENSMUSG00000070690.7	4	3	6	14	1	11
ENSMUSG00000070691.10	13.165	23.217	31.318	30.826	66.374	18.326
ENSMUSG00000070695.4	4.004	1	2	2	0.955	0
ENSMUSG00000070697.4	601	876	928	734	947	993
ENSMUSG00000070699.5	214	235	273	209	284	252
ENSMUSG00000070702.9	0	2	0	0	2	0
ENSMUSG00000070704.10	40	25	24	70	3	185
ENSMUSG00000070705.3	59	78	93	91	89	163
ENSMUSG00000070708.5	10	22	4.996	21.814	18.667	10
ENSMUSG00000070709.12	35.464	30.088	56.301	52.438	52.634	72.746
ENSMUSG00000070713.5	628.945	972.336	783.599	905.253	895.477	751.742
ENSMUSG00000070719.4	1038	1201	2063	887	1632	829
ENSMUSG00000070720.4	81	73	139	91	157	175
ENSMUSG00000070730.11	1434	1296.001	2047	1235	2362.001	1768.806
ENSMUSG00000070732.2	9	4	4	9	18	6
ENSMUSG00000070733.13	1073.211	574.852	1231.384	818.986	1727.041	1092.423
ENSMUSG00000070737.10	174.91	170.877	238.381	194.347	249.568	247.155
ENSMUSG00000070738.10	1658.001	1233	2073	1364.001	2572.001	2416
ENSMUSG00000070777.5	2.247	2.007	0.779	6.525	1.005	7.309
ENSMUSG00000070780.11	1414.002	844	1217.001	1239.042	1709.999	2625
ENSMUSG00000070796.11	196826.083	99093.43	254192.362	107140.94	158275.883	162070.545
ENSMUSG00000070797.4	96873.352	48196.612	129194.494	57137.648	99053.128	88075.119
ENSMUSG00000070798.4	21082.53	9800.831	28264.336	12393.396	23488.926	18765.416
ENSMUSG00000070799.4	12571.301	5053.829	14549.526	4682.285	6645.865	9884.837
ENSMUSG00000070802.5	6	14	10	11	22	13
ENSMUSG00000070803.6	52	85	59	70	43	97
ENSMUSG00000070806.5	34	22	27	21	51	53
ENSMUSG00000070808.4	239.397	119.281	224.834	165.349	250.835	238.858
ENSMUSG00000070810.10	0	0	0	0	0	0
ENSMUSG00000070811.6	0	0	0	0	0	0
ENSMUSG00000070814.15	75.001	85.001	118	94	112.999	137
ENSMUSG00000070815.3	4.575	1.136	10.603	3.096	7.872	10.653
ENSMUSG00000070816.3	0	0	2.184	3.541	0	0
ENSMUSG00000070817.3	0	0	1.019	0	0	1.004
ENSMUSG00000070820.3	0	0	0	0	0	0
ENSMUSG00000070821.6	0	0	0	0	0	0
ENSMUSG00000070822.5	22	17	23	30	29	20
ENSMUSG00000070828.10	1	1	0	0	0	0
ENSMUSG00000070837.5	0	1	1	0	1	4
ENSMUSG00000070841.5	0	0	0	0	0	0
ENSMUSG00000070844.11	3.021	4.034	3.448	3.025	6	1.095
ENSMUSG00000070847.13	4.093	1.885	11.159	2.369	6.196	5.987
ENSMUSG00000070852.2	0	0	0	0	0	0
ENSMUSG00000070853.5	0	0	2	0	0	1
ENSMUSG00000070855.8	20.464	7.561	23.863	6.817	16.133	5.046
ENSMUSG00000070856.5	0	0	0	0	0	0
ENSMUSG00000070857.4	0	0	0	0	0	0
ENSMUSG00000070858.12	17	21	39	20	49	43
ENSMUSG00000070866.4	3	4	5.193	0	5.773	1
ENSMUSG00000070867.4	43.178	20.003	41.011	40.012	37.077	63.002
ENSMUSG00000070868.11	2	2	1	1	0	3
ENSMUSG00000070870.6	0	0	0	0	0	0
ENSMUSG00000070871.10	816	684	1139	797	1308	1045
ENSMUSG00000070873.5	0	1	1	0	2	0
ENSMUSG00000070875.5	0	0	0	0	0	0
ENSMUSG00000070877.4	0	0	1	0	0	0
ENSMUSG00000070880.10	2	2	3	0	1	4
ENSMUSG00000070883.3	14.027	11	28.316	12	11.077	39
ENSMUSG00000070890.3	0	0	0	0	0	0
ENSMUSG00000070891.2	1	1	4	3	1	0
ENSMUSG00000070902.5	0	0	0	0	0	3
ENSMUSG00000070904.4	0	0	0	0	0	0
ENSMUSG00000070908.1	0	0	0	0	0	0
ENSMUSG00000070923.4	1221	1057	1815	1525	1930	2138
ENSMUSG00000070933.10	0	0	0	0	0	10.379
ENSMUSG00000070934.6	759	954	1129	952	1181	1363
ENSMUSG00000070939.9	705	459	779	527	966	1122.999
ENSMUSG00000070942.8	28	16	57	58	115.003	59
ENSMUSG00000070943.3	0	0	0	0	0	0
ENSMUSG00000070953.13	188	238	257	220	244.005	275
ENSMUSG00000070972.13	478.136	444.607	735.93	489.746	783.433	637.031
ENSMUSG00000070979.5	0	0	0	0	0	0
ENSMUSG00000070980.4	0	0	0	0	0	0
ENSMUSG00000070983.3	0	0	0	0	1	0
ENSMUSG00000070985.3	51.528	28.449	14	43.824	3	180.328
ENSMUSG00000070990.2	0	1	3	1	2	0
ENSMUSG00000070999.2	0	0	1	0	0	0
ENSMUSG00000071000.3	0	0	0	0	0	0
ENSMUSG00000071001.4	206	243	351	226	335	199
ENSMUSG00000071005.7	0	0	0	0	0	2
ENSMUSG00000071014.10	648.998	1131	1154	984	830	1079
ENSMUSG00000071015.2	0	0	0	0	0	0
ENSMUSG00000071019.11	0	0	0	0	1	0
ENSMUSG00000071036.2	2	1	2	1	1	3
ENSMUSG00000071037.6	56	78	99	91	69	112
ENSMUSG00000071042.12	323	154	274	272	600	280
ENSMUSG00000071047.5	35	43	45	36	65	33
ENSMUSG00000071054.12	1372.042	1465.582	1981.512	1301.293	2147.335	1835.013
ENSMUSG00000071064.15	196	87	211.022	120.02	166	267
ENSMUSG00000071065.6	0	0	0	0	0	0
ENSMUSG00000071068.7	22	12	18	30	27	12
ENSMUSG00000071072.12	2588.609	3024.799	4261.087	3140.043	4165.887	4314.673
ENSMUSG00000071073.5	26	41	57	48	93	51
ENSMUSG00000071074.9	1742.001	1584.001	2574	1828.999	2804.001	2749.001
ENSMUSG00000071076.6	2005	2109.978	4155.985	2602	4492	3852.988
ENSMUSG00000071078.6	261	365	363	346.934	399	475
ENSMUSG00000071089.3	2	0	0	3	4	3
ENSMUSG00000071103.9	47	30	55.002	25	34	42
ENSMUSG00000071104.10	2	1	3	3	6	2
ENSMUSG00000071112.12	4	2	10	9	9	1
ENSMUSG00000071113.4	1	4	7	2	2	1
ENSMUSG00000071138.4	0	0	0	0	0	0
ENSMUSG00000071147.2	0	0	0	0	0	0
ENSMUSG00000071149.3	0	0	0	0	0	0
ENSMUSG00000071150.1	0	0	0	0	0	0
ENSMUSG00000071158.9	0	0	0	0	0	0
ENSMUSG00000071165.3	0	0	0	0	0	0
ENSMUSG00000071169.1	0	0	0	0	0	0
ENSMUSG00000071172.13	2680.522	3686.25	4168.168	3769.839	4101.549	4771.682
ENSMUSG00000071176.10	853.999	765	897	704.001	1179	1294.999
ENSMUSG00000071177.4	253.021	100.595	121.603	351.219	23.914	1239.465
ENSMUSG00000071178.11	1651.537	735.376	797.842	1757.574	72.514	6734.201
ENSMUSG00000071179.8	0	0	0	1	0	0
ENSMUSG00000071180.5	1011	1070	1507.001	1295	1489	1531
ENSMUSG00000071185.5	0	0	0	0	0	0
ENSMUSG00000071192.6	18	30	9	28	46	31
ENSMUSG00000071195.4	0	0	0	0	0	0
ENSMUSG00000071202.5	3.001	2.005	3.963	0	3.898	3.278
ENSMUSG00000071203.6	27.542	23.813	30.226	55.606	28.685	95.133
ENSMUSG00000071226.11	400	357.288	403.001	321	632.03	526.014
ENSMUSG00000071229.3	0	0	0	0	0	1
ENSMUSG00000071230.6	0	0	0	0	0	0
ENSMUSG00000071234.3	0	1	5	2	2	0
ENSMUSG00000071235.12	0	0	0	0	0	0
ENSMUSG00000071252.6	71	101.999	144.001	101	128	132
ENSMUSG00000071253.8	437	370	640	463.892	680	747.644
ENSMUSG00000071256.4	143	149	207	147	260	258
ENSMUSG00000071262.10	0	2.008	4.439	0	1.003	3.004
ENSMUSG00000071266.13	46.485	66.585	84.632	69.267	85.352	129.127
ENSMUSG00000071267.11	159.725	168.407	288.288	239.277	241.295	380.16
ENSMUSG00000071275.1	0	0	0	0	0	0
ENSMUSG00000071276.1	0	0	0	0	0	0
ENSMUSG00000071281.12	179.207	157.545	217.494	144.859	221.809	249.302
ENSMUSG00000071291.10	109	98.002	184	114	190	115.197
ENSMUSG00000071302.10	197.013	200.757	349.179	267.383	258.589	319.254
ENSMUSG00000071311.2	0	0	0	0	2.07	0
ENSMUSG00000071317.4	16	27	30	33	80	41
ENSMUSG00000071322.12	0	0	4	0	2.45	4
ENSMUSG00000071324.11	12	6	5	4	8.014	10
ENSMUSG00000071337.11	279.109	298.022	419.351	434.453	513.997	529.214
ENSMUSG00000071340.2	0	0	0	0	1	0
ENSMUSG00000071341.4	1	0	1	0	1	0
ENSMUSG00000071342.5	2	2	2	1	0	2
ENSMUSG00000071347.3	11	6	12	12	33	14
ENSMUSG00000071350.12	143	111	206	126.999	252	215
ENSMUSG00000071356.7	0	0	0	0	0	0
ENSMUSG00000071359.13	807.787	753.553	1193.867	884.715	1130.945	946.741
ENSMUSG00000071361.1	0	0	0	0	0	0
ENSMUSG00000071369.11	337	255	259	340	334	701
ENSMUSG00000071379.2	577.038	768.452	1077.641	632.845	886.055	876.208
ENSMUSG00000071392.6	0	2	0	0	0	1
ENSMUSG00000071398.8	1.007	4.006	5.106	3.085	5.082	5.096
ENSMUSG00000071415.6	4197.466	6147.905	7367.974	5439.497	6259.809	6676.847
ENSMUSG00000071424.10	0	0	0	0	3	0
ENSMUSG00000071428.2	0	0	1	0	0	0
ENSMUSG00000071451.10	78	165	135	150	131	147
ENSMUSG00000071452.4	3.408	13.786	3.261	15.102	4.424	13.914
ENSMUSG00000071454.13	504.552	522.057	617.276	494.15	705.206	780.891
ENSMUSG00000071470.4	41	49	120	65	76	60
ENSMUSG00000071471.2	0	0	0	0	0	0
ENSMUSG00000071477.10	360	344	515	342	566	552
ENSMUSG00000071478.6	1.381	4.546	5.067	1.36	4.561	2.123
ENSMUSG00000071481.4	0	0	0	0	0	0
ENSMUSG00000071489.1	1.003	1	1	8.608	2	12
ENSMUSG00000071490.5	0	0	0	0	0	0
ENSMUSG00000071491.2	6.982	4.515	5.817	11.925	4.306	5.805
ENSMUSG00000071493.5	1	0	0	1	0	0
ENSMUSG00000071494.5	0	0	0	3	0	0
ENSMUSG00000071497.4	930.671	1311.73	1472.38	1358.266	1549.919	1358.427
ENSMUSG00000071506.4	81	77	113	111	111	115
ENSMUSG00000071510.3	2.546	4.978	2.797	0	1.369	2.67
ENSMUSG00000071516.2	6.381	0	0	32.12	10.927	3.08
ENSMUSG00000071517.6	0	0	0	0	0	0
ENSMUSG00000071519.6	0	0	0	0	0	0
ENSMUSG00000071521.4	0	0	1.101	0	0	0
ENSMUSG00000071522.3	0	0	0	0	0	0
ENSMUSG00000071528.4	1192.224	2201.593	2632.947	2066.257	1602.368	2362.501
ENSMUSG00000071531.3	3	0	5	4	7	5
ENSMUSG00000071533.11	1598.484	1565.937	2385.91	1714.985	2242.508	2532.808
ENSMUSG00000071537.6	8	9	9	11	12	32
ENSMUSG00000071540.4	10.002	6.001	10.015	15.095	22.147	31.045
ENSMUSG00000071547.4	816.001	970	970	932	1104	1597.999
ENSMUSG00000071550.14	2	0	0	5	1	6
ENSMUSG00000071551.13	65.395	87.523	88.482	133.5	77.014	167.666
ENSMUSG00000071552.5	4.003	9.993	9.932	7.013	24	15.017
ENSMUSG00000071553.10	12	12	5	9	10	3
ENSMUSG00000071561.2	4.481	1	1.184	0	5.844	1
ENSMUSG00000071562.6	9.519	1	2.816	2	1.156	2.3
ENSMUSG00000071586.4	0	0	0	0	0	0
ENSMUSG00000071604.5	333	283	568	655	1251	833
ENSMUSG00000071613.11	0	0	0	0	0	0
ENSMUSG00000071629.3	0	0	0	0	0	0
ENSMUSG00000071632.10	250.803	367.984	392.689	376.46	335.227	517.051
ENSMUSG00000071633.11	3	3	0	2	1	10
ENSMUSG00000071636.8	33	20	42	25	46	30
ENSMUSG00000071637.5	216	271	404	328	509	424
ENSMUSG00000071644.10	6837.684	9597.57	12113.601	9946.745	11790.669	11440.016
ENSMUSG00000071645.6	403	383	563	398	606	522
ENSMUSG00000071646.9	1293	1510	2022	1571	2347.999	2353
ENSMUSG00000071647.5	788.001	908.999	1042	825	1402	979
ENSMUSG00000071648.4	156	202	234	194	299	203
ENSMUSG00000071649.6	915.002	1147	1404.001	1300	1449.676	1489
ENSMUSG00000071650.6	4052	1635	4881.788	3370.999	6236	5745
ENSMUSG00000071652.8	645.945	769	872.105	755.518	1273.977	919.536
ENSMUSG00000071653.9	38.544	154.277	217.617	138.259	69.794	101.532
ENSMUSG00000071654.6	352	495	664	436	514	561
ENSMUSG00000071655.12	3390.001	4986	5233	3809	4686	5039.999
ENSMUSG00000071656.7	31.589	28.31	47.794	47.808	88.263	105.635
ENSMUSG00000071657.12	316.067	354.003	487.671	492.062	683.55	783.962
ENSMUSG00000071658.5	1	0	0	0	1	3
ENSMUSG00000071659.4	2553.456	2171.264	3257.65	2460.804	3708.849	4191.858
ENSMUSG00000071660.10	436.889	442.545	594.81	501.908	736.099	678.328
ENSMUSG00000071661.7	68	69	75	63	102	77
ENSMUSG00000071662.4	765	1070	1222.999	1055	974	1253
ENSMUSG00000071665.10	2	0	0	2	2	3
ENSMUSG00000071669.14	93	36	70	83	116.999	132
ENSMUSG00000071679.4	1	0	0	7	0	8
ENSMUSG00000071686.2	0	0	0	0	0	0
ENSMUSG00000071691.11	2	3	5	0	2	1
ENSMUSG00000071708.11	624.857	822.775	992.133	786.522	1065.138	1002.252
ENSMUSG00000071711.12	333	391	456.999	509.001	300	770
ENSMUSG00000071713.6	110.317	43.354	157.779	61.806	185.036	101.545
ENSMUSG00000071714.7	14.175	15.813	76.09	17.162	54.078	33.529
ENSMUSG00000071715.12	33	88.001	111	89	111	46
ENSMUSG00000071716.5	19.01	16.267	27.417	13.548	14.779	21.455
ENSMUSG00000071719.2	2	1	0	4	0	0
ENSMUSG00000071722.4	129	63	130	81	193	154
ENSMUSG00000071723.7	49	32	71	60	71	64
ENSMUSG00000071724.5	12	8	12	9	13	8
ENSMUSG00000071726.2	0	0	0	0	0	0
ENSMUSG00000071738.4	0	0	0	0	0	0
ENSMUSG00000071745.1	291.419	303.857	433.904	186.294	397.431	275.494
ENSMUSG00000071748.2	157.149	0	73.827	119.782	273.39	205.158
ENSMUSG00000071749.3	0	0	0	0	0	0
ENSMUSG00000071757.10	61	38	56	82	123	120
ENSMUSG00000071764.2	0	0	0	0	0	0
ENSMUSG00000071766.12	1018	1182	1612	932	1380	1170
ENSMUSG00000071767.4	0	4	2	0	0	0
ENSMUSG00000071769.11	0	0	0	0	0	0
ENSMUSG00000071770.5	41.491	0	20.249	0	0	0
ENSMUSG00000071771.4	68.604	84.994	55.78	31.876	75.576	45.899
ENSMUSG00000071772.13	0	0	0	0	0	0
ENSMUSG00000071773.4	56	135	151	63	86	29
ENSMUSG00000071788.5	0	0	0	0	0	0
ENSMUSG00000071815.6	0	0	0	0	0	0
ENSMUSG00000071816.5	0	0	0	0	0	0
ENSMUSG00000071847.13	115	63.017	98.037	89.233	134.047	77.017
ENSMUSG00000071855.5	180	148.002	228	174	217	200.008
ENSMUSG00000071856.10	191.253	110.271	316.61	256.208	384.686	367.773
ENSMUSG00000071858.4	0	0	0	0	0	0
ENSMUSG00000071862.3	4	1	0	0	1	1
ENSMUSG00000071866.12	9352.186	15153.746	15250.142	14812.837	13240.217	16447.723
ENSMUSG00000071890.4	0	0	0	0	0	0
ENSMUSG00000071893.7	3	2	4	1	12	3
ENSMUSG00000071909.2	0	0	0	0	0	0
ENSMUSG00000071937.4	0	0	1	0	0	0
ENSMUSG00000071984.10	7	3	11.013	12	21	12
ENSMUSG00000072049.6	1.098	3.946	2.336	1.155	0	2.179
ENSMUSG00000072066.7	22.402	30.452	49.871	50.473	49.724	42.296
ENSMUSG00000072082.7	580	646	716	810	1204	865
ENSMUSG00000072100.4	4	0	5	0	0	1
ENSMUSG00000072115.11	93	84	102.635	131.829	84	237.195
ENSMUSG00000072145.3	0	0	0	0	0	0
ENSMUSG00000072188.4	0	0	10.104	5.867	0	0
ENSMUSG00000072214.7	4874.982	5992.607	10095.28	4406.533	7389.447	4871.812
ENSMUSG00000072235.6	6436.873	9704.611	10455.066	8384.109	12095.999	8486.769
ENSMUSG00000072244.11	852.84	969.564	1113.337	1042.64	1467.263	1336.173
ENSMUSG00000072249.3	1.003	0	0	0	0	1
ENSMUSG00000072258.10	201.769	214.331	299.642	229.556	312.626	271.857
ENSMUSG00000072259.3	0	0	0	0	0	0
ENSMUSG00000072294.5	72.04	51.035	74.059	48.741	99.229	99.335
ENSMUSG00000072295.7	1	0	0	0	0	6
ENSMUSG00000072419.5	23	9	22	30	21.54	36.652
ENSMUSG00000072423.5	81.843	62.549	138.191	87.161	153.373	80.496
ENSMUSG00000072437.4	8	6	14	19	28	18
ENSMUSG00000072473.4	3	6	1	1	0	2
ENSMUSG00000072476.6	1.979	0	2.044	0	0	0
ENSMUSG00000072479.10	428.357	611.56	584.889	649.588	647.777	652.084
ENSMUSG00000072487.11	2	0	4	1	3	1
ENSMUSG00000072494.7	71	46	90	101	145	137
ENSMUSG00000072501.5	428.998	320.001	554	471.016	693.034	692.545
ENSMUSG00000072511.3	0	0	3	0	0	0
ENSMUSG00000072553.10	2	1	1	2	0	4
ENSMUSG00000072568.4	257	225	172	479	144	1117
ENSMUSG00000072571.3	88	65	57	167	11	357
ENSMUSG00000072572.9	94	80	143	126	163	157
ENSMUSG00000072575.4	1	0	1	0	0	0
ENSMUSG00000072582.9	268	444	401	417	360	511.725
ENSMUSG00000072584.2	1	0	0	0	0	0
ENSMUSG00000072595.3	0	2.431	3.521	4.557	2.552	2
ENSMUSG00000072596.4	280.546	931.696	803.268	1590.898	1242.709	1192.648
ENSMUSG00000072598.3	0	0	0	0	0	0
ENSMUSG00000072601.4	154.807	527.18	550.356	936.809	879.177	899.847
ENSMUSG00000072605.10	0	0	0	0	0	0
ENSMUSG00000072620.3	154.773	218.125	444.811	209.629	268.817	245.276
ENSMUSG00000072623.6	299.372	299.516	598.104	384.195	523.488	428.069
ENSMUSG00000072624.3	0	1	0	0	1	1
ENSMUSG00000072625.1	1	0	0	4	0	0
ENSMUSG00000072640.11	80.881	74.083	104.213	109.621	111.256	113.071
ENSMUSG00000072647.6	10.474	15.906	10	12.315	30.805	27.657
ENSMUSG00000072662.2	14	5	10	10	7	10
ENSMUSG00000072663.12	2	0	0	1	2	6
ENSMUSG00000072664.11	34.558	8	16.372	47.693	3	143.731
ENSMUSG00000072672.10	0	0	1.274	0	0	0
ENSMUSG00000072674.10	1260.161	1913.922	2997.659	2591.601	2614.559	2455.761
ENSMUSG00000072675.12	0	0	17.726	0	9.933	0.822
ENSMUSG00000072676.12	59.855	56.211	102.065	86.876	90.289	102.142
ENSMUSG00000072680.11	860.98	1044.52	1396.467	1095.223	1625.69	1433.75
ENSMUSG00000072693.2	6	1	2	4.041	3	2
ENSMUSG00000072694.8	397.839	447.67	586.531	451.843	623.593	483.361
ENSMUSG00000072704.6	519.201	563	848.339	777	782.237	1111
ENSMUSG00000072707.3	2.055	1.16	9.238	3.616	2.709	9.876
ENSMUSG00000072708.3	4.049	0	1.004	0	2.966	2
ENSMUSG00000072709.3	1	2	2	0	0	0
ENSMUSG00000072718.6	0	1	0	0	0	0
ENSMUSG00000072720.9	182	197	357	254	447	462.001
ENSMUSG00000072722.2	0	0	0	0	1	0
ENSMUSG00000072726.3	0	0	0	0	0	0
ENSMUSG00000072738.3	0	0	0	0	0	2.707
ENSMUSG00000072739.4	0	0	0	0	0	0
ENSMUSG00000072754.9	0	5	3	1	0	5
ENSMUSG00000072762.9	84.264	73.38	100.008	114.512	102.685	161.167
ENSMUSG00000072763.2	49.29	56.748	79.059	48.56	40.916	113.5
ENSMUSG00000072770.9	14.052	23	41.713	30.209	30.04	33.26
ENSMUSG00000072772.3	718.001	883.997	1088	977	1047	1335.001
ENSMUSG00000072774.10	117.408	117.099	179.058	144.787	155.848	179.442
ENSMUSG00000072778.3	1.039	2.051	2.025	1.005	2.002	1.474
ENSMUSG00000072780.3	3.94	0	1	6	4	3.199
ENSMUSG00000072791.11	0	0	0	3	0	0
ENSMUSG00000072812.4	514	197	519	480	981.999	951
ENSMUSG00000072813.5	0	0	0	0	0	0
ENSMUSG00000072814.10	0	0	0	0	0	0
ENSMUSG00000072821.4	0	0	0	0	0	0
ENSMUSG00000072822.2	0	0	0	0	0	0
ENSMUSG00000072825.11	1512.143	848.033	1212.224	1425.516	2563.989	2885.679
ENSMUSG00000072845.3	0	0	2.693	0	0	2
ENSMUSG00000072849.10	108.824	83.102	77.066	246.734	105.643	570.119
ENSMUSG00000072872.3	3190	2326.597	3728.919	2730	4418.565	4662.973
ENSMUSG00000072875.2	50	43	77	34	77	59
ENSMUSG00000072878.4	0	0	0	0	0	0
ENSMUSG00000072888.2	0	0	0	0	0	0
ENSMUSG00000072889.9	502	493	804.999	643	830	852
ENSMUSG00000072905.5	2.076	0	0	0	0	0
ENSMUSG00000072915.3	48.48	53.492	79.529	52.379	92.506	63.833
ENSMUSG00000072919.4	2	4	2	3	7	5
ENSMUSG00000072923.6	0	0	0	0	2.058	0
ENSMUSG00000072930.3	0	13.038	5.379	0	0	22.367
ENSMUSG00000072931.4	0	0	0	0	2.721	0
ENSMUSG00000072934.10	81	81	175	138	172	96
ENSMUSG00000072941.5	810	446	529	653	388	1755
ENSMUSG00000072944.11	6153.999	8684	9167.999	6694.001	8715	8300
ENSMUSG00000072945.3	124	43	77	218	238	228
ENSMUSG00000072946.12	899.001	998.001	1272.428	1015.001	1278.97	1453.992
ENSMUSG00000072949.6	251.893	321.503	262.049	629.301	143.327	937.367
ENSMUSG00000072955.14	1.288	5.918	2.801	1.308	8.784	7.604
ENSMUSG00000072964.14	282.107	344.088	402	369	465.999	521
ENSMUSG00000072966.11	24.61	9.247	7.28	27.089	18.045	32.709
ENSMUSG00000072968.4	0	3.761	2	0	2	3.416
ENSMUSG00000072969.2	102.813	72.183	126.006	98.967	145.8	136.935
ENSMUSG00000072972.3	4	2	10	7	7	10
ENSMUSG00000072974.4	3	9	17	5	10	9
ENSMUSG00000072980.3	49	94.182	83	142	74.01	149
ENSMUSG00000072983.4	0	0	0	0	0	0
ENSMUSG00000072995.1	0	0	0	0	0	0
ENSMUSG00000073001.3	0	0	0	0	0	0
ENSMUSG00000073002.9	252	307	459	342.001	445.001	387.999
ENSMUSG00000073006.2	0	0	0	0	0	0
ENSMUSG00000073007.10	0	0	0	2	0	0
ENSMUSG00000073008.11	7.492	13.013	5.331	10.289	19.448	12.125
ENSMUSG00000073010.9	1	1	1	6	0	1
ENSMUSG00000073012.2	7756.607	6859.288	9194.476	4575.993	7168.383	6890.507
ENSMUSG00000073016.3	16.77	6	10.564	14.056	36.302	13.2
ENSMUSG00000073027.10	463	605.031	641.972	467.128	609.452	593
ENSMUSG00000073043.5	0	0	0	0	0	0
ENSMUSG00000073062.3	1131	615.423	1390.02	896.332	1772.772	1480.183
ENSMUSG00000073063.3	17.003	44.713	23.87	20.65	26.069	25.455
ENSMUSG00000073069.2	0	0	0	0	0	0
ENSMUSG00000073077.7	2	1	0	1	3	2
ENSMUSG00000073079.6	2834.344	3183.698	3621.076	2458.54	4121.103	4224.135
ENSMUSG00000073085.2	0	0	0	0	0	0
ENSMUSG00000073094.9	0	0	0	1	0	0
ENSMUSG00000073096.11	179.114	159.993	277.283	191.325	285.357	182.322
ENSMUSG00000073102.7	11	6	14	6	11	24
ENSMUSG00000073110.3	0	0	0	0	0	0
ENSMUSG00000073111.3	0	0	2	0	0	1
ENSMUSG00000073116.4	3.629	1.65	0	2.172	4.78	1.026
ENSMUSG00000073117.2	0	0	1.241	0	0	0
ENSMUSG00000073119.3	0	0	7.85	0.787	2.743	2.067
ENSMUSG00000073125.10	233.419	312.497	660.528	438.153	488.14	405.614
ENSMUSG00000073130.10	6	2	1	0	8	2
ENSMUSG00000073131.12	1161.569	1264.398	1869.099	1469.588	2028.196	1786.127
ENSMUSG00000073139.9	507	292	539	431	680	620
ENSMUSG00000073155.12	1306.001	1420.999	1771.001	1527	1704.012	1985.002
ENSMUSG00000073158.4	38.937	37.591	62.763	36.64	74.064	65.102
ENSMUSG00000073176.4	119	91	179	139	164	169
ENSMUSG00000073177.8	1	2	2	2	0	3
ENSMUSG00000073197.9	291.298	275.352	390.89	258.456	306.786	411.368
ENSMUSG00000073207.1	49	54	67	65	9	140
ENSMUSG00000073208.12	1.424	0	0	0	8.162	2.027
ENSMUSG00000073209.4	43	39	54	31	39	43
ENSMUSG00000073234.4	2	2	3	2	9	5
ENSMUSG00000073243.2	184	275	334	272	340	246
ENSMUSG00000073245.10	0	0	0	0	0	0
ENSMUSG00000073247.3	0	0	0	0	0	0
ENSMUSG00000073257.3	0	0	0	0	0	0
ENSMUSG00000073267.5	0	0	0	0	0	0
ENSMUSG00000073290.1	0	0	0	3	2.083	0
ENSMUSG00000073291.3	0	0	4.842	11.287	0	1.153
ENSMUSG00000073293.4	18.436	34.913	38.211	45.04	36.587	63.494
ENSMUSG00000073294.4	18	3	7	10	3	9
ENSMUSG00000073295.4	53.564	50.087	55.789	73.96	40.413	170.506
ENSMUSG00000073375.3	0	0	0	0	0	1
ENSMUSG00000073380.2	0	0	0	0	0	0
ENSMUSG00000073386.5	5.106	1	2.083	3.77	4.997	1
ENSMUSG00000073396.5	0	0	0	0	0	0
ENSMUSG00000073399.9	12	4	12	15	13	37
ENSMUSG00000073400.6	370	532	504	262	164	300
ENSMUSG00000073402.11	106.066	43.841	163.374	32.055	107.785	55.191
ENSMUSG00000073407.1	0	0	3	0	0	2
ENSMUSG00000073408.2	474.791	131.297	936.678	630.337	508.793	422.935
ENSMUSG00000073409.12	454.216	204.348	900.273	415.866	982.706	677.111
ENSMUSG00000073411.12	13773.882	8411.213	21403.006	11251.782	22970.824	16842.127
ENSMUSG00000073412.6	7	19	32	14	15	15
ENSMUSG00000073413.9	2	2	4	1	2	5
ENSMUSG00000073414.8	6	4	8	2	13	13
ENSMUSG00000073418.4	555.814	127.763	87.608	448.168	44.116	2984.387
ENSMUSG00000073421.6	155	232	289.999	170	241	211.001
ENSMUSG00000073422.11	400.542	476.638	625.315	468.217	537.628	525.054
ENSMUSG00000073423.10	322.942	404.22	435.871	336.297	493.685	420.1
ENSMUSG00000073424.9	0	0	1.005	2.03	2.049	0
ENSMUSG00000073427.4	51.624	56.021	77.666	52.44	54.729	87.414
ENSMUSG00000073433.11	7	6	8	8	7	9
ENSMUSG00000073434.12	140.182	99.232	187.705	151	235.357	192.998
ENSMUSG00000073435.10	208.111	317.129	376.615	351.075	351.768	403.236
ENSMUSG00000073436.11	265.357	187.021	390.827	284.388	477.752	396.957
