abundance	gene
ENSMUSG00000002028.13	1.349403	ENSMUSG00000002028.13
ENSMUSG00000002031.13	98.491956	ENSMUSG00000002031.13
ENSMUSG00000002032.17	0.286078	ENSMUSG00000002032.17
ENSMUSG00000002033.14	0.35939	ENSMUSG00000002033.14
ENSMUSG00000002043.17	34.838386	ENSMUSG00000002043.17
ENSMUSG00000002052.6	12.880329	ENSMUSG00000002052.6
ENSMUSG00000002055.9	14.456221	ENSMUSG00000002055.9
ENSMUSG00000002057.4	0.153076	ENSMUSG00000002057.4
ENSMUSG00000002058.13	29.852631	ENSMUSG00000002058.13
ENSMUSG00000002059.18	11.401728	ENSMUSG00000002059.18
ENSMUSG00000002064.10	111.833919	ENSMUSG00000002064.10
ENSMUSG00000002068.16	6.702734	ENSMUSG00000002068.16
ENSMUSG00000002076.12	5.606273	ENSMUSG00000002076.12
ENSMUSG00000002083.13	4.744492	ENSMUSG00000002083.13
ENSMUSG00000002100.15	0.204446	ENSMUSG00000002100.15
ENSMUSG00000002102.15	115.383906	ENSMUSG00000002102.15
ENSMUSG00000002103.16	9.89921	ENSMUSG00000002103.16
ENSMUSG00000002104.11	0.170059	ENSMUSG00000002104.11
ENSMUSG00000002105.15	33.388758	ENSMUSG00000002105.15
ENSMUSG00000002107.18	1.376279	ENSMUSG00000002107.18
ENSMUSG00000002108.10	1.83662	ENSMUSG00000002108.10
ENSMUSG00000002109.14	2.221812	ENSMUSG00000002109.14
ENSMUSG00000002111.8	1.283893	ENSMUSG00000002111.8
ENSMUSG00000002129.11	10.082686	ENSMUSG00000002129.11
ENSMUSG00000002147.18	29.185383	ENSMUSG00000002147.18
ENSMUSG00000002190.13	0.055512	ENSMUSG00000002190.13
ENSMUSG00000002204.9	4.361853	ENSMUSG00000002204.9
ENSMUSG00000002205.16	23.950934	ENSMUSG00000002205.16
ENSMUSG00000002210.11	13.31731	ENSMUSG00000002210.11
ENSMUSG00000002221.11	7.843909	ENSMUSG00000002221.11
