abundance	gene
ENSMUSG00000001552.14	198.192792	ENSMUSG00000001552.14
ENSMUSG00000001555.10	11.761206	ENSMUSG00000001555.10
ENSMUSG00000001558.5	0.180389	ENSMUSG00000001558.5
ENSMUSG00000001566.9	0.054176	ENSMUSG00000001566.9
ENSMUSG00000001569.10	12.224566	ENSMUSG00000001569.10
ENSMUSG00000001576.15	33.754229	ENSMUSG00000001576.15
ENSMUSG00000001583.13	0.75935	ENSMUSG00000001583.13
ENSMUSG00000001588.12	0.497671	ENSMUSG00000001588.12
ENSMUSG00000001604.14	2.116965	ENSMUSG00000001604.14
ENSMUSG00000001622.15	0.367278	ENSMUSG00000001622.15
ENSMUSG00000001627.12	179.801992	ENSMUSG00000001627.12
ENSMUSG00000001630.13	5.144362	ENSMUSG00000001630.13
ENSMUSG00000001632.16	7.367165	ENSMUSG00000001632.16
ENSMUSG00000001642.18	17.422523	ENSMUSG00000001642.18
ENSMUSG00000001655.6	0.231075	ENSMUSG00000001655.6
ENSMUSG00000001656.3	0.036057	ENSMUSG00000001656.3
ENSMUSG00000001657.7	0.151018	ENSMUSG00000001657.7
ENSMUSG00000001661.5	0.461339	ENSMUSG00000001661.5
ENSMUSG00000001663.10	5.216453	ENSMUSG00000001663.10
ENSMUSG00000001665.11	4.81211	ENSMUSG00000001665.11
ENSMUSG00000001666.8	30.516044	ENSMUSG00000001666.8
ENSMUSG00000001670.13	0.062762	ENSMUSG00000001670.13
ENSMUSG00000001672.14	3.228317	ENSMUSG00000001672.14
ENSMUSG00000001674.11	22.651916	ENSMUSG00000001674.11
ENSMUSG00000001687.15	28.9497	ENSMUSG00000001687.15
ENSMUSG00000001700.10	11.257587	ENSMUSG00000001700.10
ENSMUSG00000001707.8	6.691392	ENSMUSG00000001707.8
ENSMUSG00000001729.14	175.016893	ENSMUSG00000001729.14
ENSMUSG00000001739.14	0.518799	ENSMUSG00000001739.14
ENSMUSG00000001741.12	0.076218	ENSMUSG00000001741.12
ENSMUSG00000001750.16	16.704739	ENSMUSG00000001750.16
ENSMUSG00000001751.9	14.766242	ENSMUSG00000001751.9
ENSMUSG00000001755.12	8.404185	ENSMUSG00000001755.12
ENSMUSG00000001761.7	2.060385	ENSMUSG00000001761.7
ENSMUSG00000001763.14	11.13508	ENSMUSG00000001763.14
ENSMUSG00000001767.5	10.676755	ENSMUSG00000001767.5
ENSMUSG00000001768.16	4.863424	ENSMUSG00000001768.16
ENSMUSG00000001773.14	0	ENSMUSG00000001773.14
ENSMUSG00000001774.8	15.819255	ENSMUSG00000001774.8
ENSMUSG00000001783.3	29.767931	ENSMUSG00000001783.3
ENSMUSG00000001785.13	6.582546	ENSMUSG00000001785.13
ENSMUSG00000001786.14	20.523026	ENSMUSG00000001786.14
ENSMUSG00000001794.13	230.627672	ENSMUSG00000001794.13
ENSMUSG00000001802.16	0.611395	ENSMUSG00000001802.16
ENSMUSG00000001804.9	0.059361	ENSMUSG00000001804.9
ENSMUSG00000001815.15	0	ENSMUSG00000001815.15
ENSMUSG00000001819.4	0.128699	ENSMUSG00000001819.4
ENSMUSG00000001823.5	0	ENSMUSG00000001823.5
ENSMUSG00000001827.12	208.468702	ENSMUSG00000001827.12
ENSMUSG00000001829.17	12.272093	ENSMUSG00000001829.17
ENSMUSG00000001833.17	43.277176	ENSMUSG00000001833.17
ENSMUSG00000001844.10	10.022875	ENSMUSG00000001844.10
ENSMUSG00000001847.14	134.301299	ENSMUSG00000001847.14
ENSMUSG00000001855.15	24.310197	ENSMUSG00000001855.15
ENSMUSG00000001864.13	272.988539	ENSMUSG00000001864.13
ENSMUSG00000001865.2	1.026536	ENSMUSG00000001865.2
ENSMUSG00000001870.16	16.920239	ENSMUSG00000001870.16
ENSMUSG00000001891.16	125.522205	ENSMUSG00000001891.16
ENSMUSG00000001901.15	0.515643	ENSMUSG00000001901.15
ENSMUSG00000001909.16	31.196075	ENSMUSG00000001909.16
ENSMUSG00000001910.5	8.506881	ENSMUSG00000001910.5
ENSMUSG00000001911.16	6.148884	ENSMUSG00000001911.16
ENSMUSG00000001918.17	8.533944	ENSMUSG00000001918.17
ENSMUSG00000001924.15	51.973681	ENSMUSG00000001924.15
ENSMUSG00000001930.17	7.870691	ENSMUSG00000001930.17
ENSMUSG00000001942.8	12.093367	ENSMUSG00000001942.8
ENSMUSG00000001943.8	2.279363	ENSMUSG00000001943.8
ENSMUSG00000001946.14	654.712457	ENSMUSG00000001946.14
ENSMUSG00000001948.10	6.217692	ENSMUSG00000001948.10
ENSMUSG00000001962.8	22.825591	ENSMUSG00000001962.8
ENSMUSG00000001964.14	23.472726	ENSMUSG00000001964.14
ENSMUSG00000001983.7	5.042634	ENSMUSG00000001983.7
ENSMUSG00000001985.9	0.404136	ENSMUSG00000001985.9
ENSMUSG00000001986.16	0.129489	ENSMUSG00000001986.16
ENSMUSG00000001988.9	0	ENSMUSG00000001988.9
ENSMUSG00000001995.9	8.330746	ENSMUSG00000001995.9
ENSMUSG00000001998.15	1.325612	ENSMUSG00000001998.15
ENSMUSG00000001999.15	18.40326	ENSMUSG00000001999.15
ENSMUSG00000002006.12	0.10409	ENSMUSG00000002006.12
ENSMUSG00000002007.5	0.036889	ENSMUSG00000002007.5
ENSMUSG00000002010.17	47.764872	ENSMUSG00000002010.17
ENSMUSG00000002012.13	1.141818	ENSMUSG00000002012.13
ENSMUSG00000002014.12	227.933283	ENSMUSG00000002014.12
ENSMUSG00000002015.5	216.739279	ENSMUSG00000002015.5
